Date,Close,Open,High,Low
2017.10.24,5592.86,5907.00,5933.76,5534.32
2017.10.25,5674.84,5590.41,5699.15,5360.00
2017.10.26,5847.91,5673.55,5987.11,5635.77
2017.10.27,5742.93,5839.66,5994.05,5680.01
2017.10.30,6096.50,5945.06,6310.00,5940.00
2017.10.31,6362.52,6097.14,6415.28,6072.81
2017.11.01,6559.97,6362.52,6630.00,6340.02
2017.11.02,7038.28,6560.07,7352.00,6555.51
2017.11.03,7227.01,7038.29,7480.00,6925.01
2017.11.06,7129.05,7516.73,7578.13,6927.85
2017.11.07,7060.44,7123.69,7244.17,6922.07
2017.11.08,7257.60,7070.93,7887.99,7041.00
2017.11.09,7119.97,7257.60,7502.48,7054.21
2017.11.10,6461.00,7120.01,7342.79,6420.34
2017.11.13,6476.34,6093.79,6799.22,5605.00
2017.11.14,6600.00,6491.12,6747.01,6426.02
2017.11.15,7292.75,6591.20,7349.99,6541.00
2017.11.16,7886.00,7300.01,7894.90,7120.28
2017.11.17,7692.71,7886.00,7999.98,7527.95
2017.11.20,8247.03,7960.01,8267.89,7890.06
2017.11.21,8127.13,8247.42,8356.99,7765.00
2017.11.22,8210.11,8129.43,8309.94,7935.00
2017.11.23,8161.33,8210.12,8283.99,8068.79
2017.11.24,8227.97,8157.12,8339.40,7876.00
2017.11.27,9625.00,9272.99,9720.00,8980.00
2017.11.28,9937.30,9625.00,9968.41,9554.75
2017.11.29,10203.97,9937.30,11390.00,8988.18
2017.11.30,9700.00,10252.80,10790.00,8897.06
2017.12.01,10790.00,9628.45,10857.00,9361.21
2017.12.04,11455.06,11641.01,11799.98,10283.94
2017.12.05,11751.80,11455.06,11864.00,11384.26
2017.12.06,13198.98,11772.49,13200.00,11635.00
2017.12.07,15651.03,13193.00,16263.72,13105.03
2017.12.08,15589.02,16044.19,17156.94,13620.00
2017.12.11,16952.48,14919.37,17421.83,14029.86
2017.12.12,17025.01,17202.76,17592.52,15967.29
2017.12.13,16480.05,17025.01,17567.52,15497.69
2017.12.14,16288.51,16415.55,17110.22,15852.69
2017.12.15,17389.22,16514.43,17930.00,16213.88
2017.12.18,18690.00,19050.00,19458.19,17835.21
2017.12.19,17067.70,18690.00,19106.84,16716.76
2017.12.20,16250.00,16989.02,17943.14,15811.00
2017.12.21,15715.11,16250.00,17280.00,15005.00
2017.12.22,14408.77,15690.00,15850.03,10800.38
2017.12.25,13844.24,13100.00,14663.65,12622.00
2017.12.26,15861.02,13774.76,16145.00,13606.00
2017.12.27,15101.14,15861.03,16499.60,14484.00
2017.12.28,13925.10,15187.91,15488.00,13500.00
2017.12.29,14355.81,13901.00,15448.31,13866.82
2018.01.01,13500.75,13921.22,14260.00,12801.62
2018.01.02,14767.66,13500.75,15303.62,12910.58
2018.01.03,15027.05,14780.86,15401.76,14538.55
2018.01.04,14893.34,15027.10,15429.11,14174.73
2018.01.05,16555.04,14949.47,16571.03,14809.00
2018.01.08,14938.37,15850.01,16500.00,13905.00
2018.01.09,14510.13,14938.37,15376.52,14132.22
2018.01.10,14491.36,14510.14,14748.45,13412.00
2018.01.11,13463.52,14505.06,14985.60,12801.00
2018.01.12,13763.00,13464.11,14150.00,12807.27
2018.01.13,14170.41,13763.00,14569.08,13568.64
2018.01.14,13500.04,14170.43,14365.80,13052.12
2018.01.15,13939.58,13500.04,14382.01,13288.83
2018.01.16,10753.30,13918.91,13951.79,10339.66
2018.01.17,11387.79,10711.36,11791.49,9156.12
2018.01.18,11605.00,11355.01,12150.35,10693.00
2018.01.19,11350.00,11639.03,12050.00,11025.18
2018.01.20,12903.01,11350.00,13046.85,11250.00
2018.01.21,11451.99,12920.31,12971.17,11213.62
2018.01.22,10350.00,11451.99,11901.00,10028.42
2018.01.23,10980.59,10350.00,11400.01,9927.54
2018.01.24,11233.84,11003.38,11499.99,10488.13
2018.01.25,11245.80,11204.47,11736.40,10865.60
2018.01.26,10918.00,11250.61,11630.00,10263.18
2018.01.27,11553.38,10918.00,11629.41,10771.69
2018.01.28,11642.56,11546.92,11989.10,11319.34
2018.01.29,11200.01,11633.40,11819.82,11020.85
2018.01.30,10082.00,11196.55,11222.80,9745.00
2018.01.31,9969.99,10082.00,10323.99,9511.01
2018.02.01,9086.59,9961.81,10189.48,8446.80
2018.02.02,8561.81,9090.00,9126.54,7613.32
2018.02.03,9145.85,8561.81,9483.46,8164.88
2018.02.04,8437.21,9145.91,9357.99,8187.19
2018.02.05,7092.00,8466.39,8547.45,6567.76
2018.02.06,7799.01,7102.85,8142.30,5911.00
2018.02.07,8080.00,7755.08,8648.93,7210.63
2018.02.08,8174.88,8084.72,8635.10,7537.67
2018.02.09,8548.31,8160.76,8760.00,7753.32
2018.02.10,8273.76,8540.21,9090.79,8159.88
2018.02.11,8202.96,8277.34,8601.67,7818.00
2018.02.12,8833.93,8211.37,8915.19,8021.24
2018.02.13,8556.44,8823.60,8992.90,8360.10
2018.02.14,9287.91,8542.39,9379.99,8461.38
2018.02.15,9868.25,9287.92,10240.00,9225.46
2018.02.16,10082.33,9868.27,10301.44,9707.32
2018.02.17,10863.00,10082.33,10901.19,10042.03
2018.02.18,10757.80,10838.89,11299.99,10152.73
2018.02.19,11079.40,10753.59,11258.00,10303.07
2018.02.20,11706.54,11064.07,11748.18,11040.00
2018.02.21,10302.57,11700.02,11785.73,10242.50
2018.02.22,9933.50,10273.01,10932.43,9729.61
2018.02.23,9920.64,9921.19,10405.90,9589.97
2018.02.24,9510.00,9920.64,10540.53,9370.13
2018.02.25,9367.24,9499.33,9879.97,9275.42
2018.02.26,10373.34,9370.76,10460.02,9304.88
2018.02.27,10744.60,10378.52,10850.00,10131.15
2018.02.28,10533.04,10761.03,11064.64,10363.49
2018.03.01,10929.91,10533.68,11083.00,10214.09
2018.03.02,11026.93,10925.10,11174.97,10774.10
2018.03.03,11283.14,11026.93,11501.00,10935.73
2018.03.04,11122.44,11290.43,11460.82,11055.99
2018.03.05,11558.85,11101.00,11687.57,11097.50
2018.03.06,10790.00,11558.53,11621.99,10560.32
2018.03.07,9941.50,10780.26,10910.00,9400.53
2018.03.08,9318.99,9936.81,10131.99,9053.20
2018.03.09,8981.78,9327.26,9410.15,8366.32
2018.03.10,8812.98,8981.78,9513.00,8768.13
2018.03.11,9640.66,8835.70,9681.99,8450.01
2018.03.12,9014.07,9633.39,9891.99,8748.00
2018.03.13,9060.33,9020.32,9482.12,8834.98
2018.03.14,8300.00,9061.99,9355.01,8201.14
2018.03.15,8250.01,8300.00,8423.69,7670.21
2018.03.16,8529.89,8248.21,8612.11,7914.09
2018.03.17,7850.00,8516.33,8534.96,7730.23
2018.03.18,7495.12,7834.56,8089.75,7325.37
2018.03.19,8424.00,7480.44,8725.54,7389.03
2018.03.20,8914.65,8428.40,9050.00,8319.92
2018.03.21,8906.73,8914.66,9187.00,8754.83
2018.03.22,8602.52,8882.90,9098.04,8497.95
2018.03.23,8617.65,8599.00,8784.71,8280.81
2018.03.24,8923.44,8617.65,9010.33,8617.26
2018.03.25,8536.74,8923.44,8928.99,8370.45
2018.03.26,7888.00,8543.26,8679.64,7831.18
2018.03.27,7992.17,7910.00,8268.36,7742.11
2018.03.28,7900.21,7995.00,8102.91,7723.01
2018.03.29,7101.00,7894.68,8006.42,7100.00
2018.03.30,6844.04,7100.00,7330.64,6553.72
2018.03.31,6903.60,6844.04,7226.02,6756.00
2018.04.01,6817.19,6899.15,7041.94,6427.00
2018.04.02,6936.47,6828.43,7115.68,6758.45
2018.04.03,7407.89,6937.21,7506.83,6923.85
2018.04.04,6827.05,7395.13,7449.22,6730.38
2018.04.05,9707.64,9713.00,9985.39,9672.06
2018.04.06,9750.76,9753.76,9938.00,9377.84
2018.04.07,7001.93,6599.87,7068.51,6540.00
2018.04.08,6988.99,6995.57,7103.30,6851.59
2018.04.09,6653.91,6988.99,7174.68,6610.00
2018.04.10,6839.90,6653.92,6870.00,6650.89
2018.04.11,6895.08,6837.05,6965.29,6777.93
2018.04.12,7733.99,6889.98,8059.34,6758.46
2018.04.13,7910.00,7723.94,8228.80,7691.79
2018.04.14,8071.41,7910.00,8224.39,7805.00
2018.04.15,8315.73,8067.64,8415.10,7945.20
2018.04.16,7986.20,8316.21,8424.40,7905.00
2018.04.17,7915.55,7990.34,8159.09,7809.98
2018.04.18,8184.35,7918.25,8237.28,7860.02
2018.04.19,8235.81,8187.13,8297.59,8075.70
2018.04.20,8522.98,8235.06,8565.98,8215.00
2018.04.21,8774.42,8518.61,9036.86,8500.02
2018.04.22,8953.30,8776.57,9013.55,8751.63
2018.04.23,8936.80,8949.41,9000.00,8760.00
2018.04.24,9447.34,8936.80,9468.01,8910.00
2018.04.25,9057.41,9444.89,9755.52,8751.00
2018.04.26,9110.00,9066.66,9173.84,8647.63
2018.04.27,8970.01,9125.00,9383.37,8944.73
2018.04.28,9326.79,8970.01,9442.29,8854.47
2018.04.29,9319.82,9326.79,9538.94,9173.90
2018.04.30,9264.85,9319.82,9440.19,9111.00
2018.05.01,9016.75,9266.01,9287.27,8813.22
2018.05.02,9169.77,9016.74,9190.86,8975.23
2018.05.03,9654.87,9179.90,9730.00,9163.12
2018.05.04,9671.24,9654.87,9792.79,9509.84
2018.05.05,9731.84,9671.24,9961.50,9651.91
2018.05.06,9518.10,9731.84,9917.81,9376.14
2018.05.07,9436.26,9514.59,9688.51,9000.00
2018.05.08,9155.15,9422.72,9465.38,9000.00
2018.05.09,9247.08,9147.50,9364.71,8950.15
2018.05.10,9089.79,9241.28,9390.02,8996.50
2018.05.11,8376.58,9092.90,9128.00,8335.99
2018.05.12,8426.84,8421.36,8649.82,8168.97
2018.05.13,8629.00,8412.92,8684.99,8315.12
2018.05.14,8812.80,8629.01,8900.00,8263.10
2018.05.15,8512.10,8810.09,8859.35,8400.00
2018.05.16,8293.94,8519.12,8555.53,8093.45
2018.05.17,8198.08,8296.07,8497.11,8106.41
2018.05.18,8229.25,8194.31,8290.60,7924.13
2018.05.19,8281.79,8229.25,8399.57,8137.61
2018.05.20,8516.28,8289.13,8551.79,8162.74
2018.05.21,8404.25,8512.73,8601.68,8300.00
2018.05.22,8101.51,8403.98,8428.90,8070.00
2018.05.23,7578.90,8095.49,8136.20,7421.70
2018.05.24,7549.46,7591.99,7783.30,7255.00
2018.05.25,7448.34,7576.80,7691.98,7325.27
2018.05.26,7521.71,7448.34,7643.74,7329.00
2018.05.27,7281.54,7527.89,7635.02,7217.43
2018.05.28,7223.59,7286.99,7495.46,7162.93
2018.05.29,7496.72,7224.00,7572.97,7036.08
2018.05.30,7336.02,7496.73,7584.01,7263.89
2018.05.31,7538.28,7332.22,7628.58,7311.37
2018.06.01,7436.49,7531.26,7620.15,7263.19
2018.06.02,7611.00,7444.98,7693.99,7418.50
2018.06.03,7676.23,7606.05,7788.00,7573.23
2018.06.04,7522.23,7676.24,7762.34,7446.20
2018.06.05,7627.43,7528.90,7675.02,7357.00
2018.06.06,7620.00,7627.90,7680.01,7455.50
2018.06.07,7657.34,7625.00,7776.00,7605.00
2018.06.08,7639.12,7655.90,7707.07,7536.58
2018.06.09,7628.88,7639.12,7695.00,7565.66
2018.06.10,6776.30,7628.88,7648.63,6617.75
2018.06.11,6757.41,6740.00,6867.99,6625.61
2018.06.12,6533.32,6758.14,6937.45,6442.82
2018.06.13,6305.21,6530.41,6670.76,6129.95
2018.06.14,6658.03,6258.76,6730.11,6233.13
2018.06.15,6496.63,6658.03,6711.55,6432.90
2018.06.16,6520.00,6505.56,6569.16,6330.01
2018.06.17,6508.00,6531.76,6571.71,6442.65
2018.06.18,6723.99,6508.00,6794.99,6378.61
2018.06.19,6693.33,6726.78,6831.02,6636.38
2018.06.20,6747.45,6692.50,6816.99,6551.00
2018.06.21,6713.32,6746.81,6805.40,6672.87
2018.06.22,6067.50,6719.15,6754.20,6013.13
2018.06.23,6133.92,6067.50,6256.60,5919.05
2018.06.24,6185.27,6130.13,6274.10,5762.68
2018.06.25,6243.53,6176.44,6361.44,6076.00
2018.06.26,6182.38,6266.68,6295.60,6122.63
2018.06.27,6126.79,6169.91,6264.60,5982.39
2018.06.28,6050.00,6122.34,6180.27,6015.49
2018.06.29,5899.30,6041.90,6056.00,5779.96
2018.06.30,6354.61,5899.30,6537.08,5882.51
2018.07.01,6319.00,6356.43,6437.99,6224.56
2018.07.02,6618.99,6319.00,6672.42,6264.56
2018.07.03,6616.58,6587.62,6673.98,6517.50
2018.07.04,6684.29,6613.22,6797.46,6388.60
2018.07.05,6506.00,6684.58,6705.19,6443.47
2018.07.06,6570.75,6504.60,6638.99,6441.60
2018.07.07,6523.68,6570.75,6623.59,6487.45
2018.07.08,6745.00,6523.80,6838.80,6487.41
